accuracy,balanced_accuracy,precision_unhealthy,recall_unhealthy,f1_unhealthy,f1_macro,roc_auc,pr_auc,brier_score,cohen_kappa,runtime_train_s,runtime_pred_s,tn,fp,fn,tp,threshold_used,thr_best_f1,f1_U_best,recall_U_best,location,model,config,eval_type,fold,sampler
0.882703777335984,0.5150278662420382,0.09090909090909091,0.09375,0.09230769230769231,0.5148042180985858,0.574343152866242,0.09746560038008092,0.1013085407554672,0.02962430108230063,0.9308671951293945,0.12227463722229004,441.0,30.0,29.0,3.0,0.5,0.36,0.18181818181818182,0.375,AirHitam,RandomForest,default,holdout,-1.0,gsmote
0.8906560636182903,0.5047107218683652,0.07407407407407407,0.0625,0.06779661016949153,0.5048592343350098,0.5232882165605095,0.07863028309512397,0.12886000903783798,0.010161365344019457,0.7995510101318359,0.11225104331970215,446.0,25.0,30.0,2.0,0.5,0.37,0.17518248175182483,0.375,AirHitam,RandomForest,tuned,holdout,-1.0,gsmote
0.9165009940357853,0.5185111464968153,0.14285714285714285,0.0625,0.08695652173913043,0.5216032608695652,0.5854564755838643,0.10538729493429086,0.07560725923207935,0.050175343943889894,0.4904625415802002,0.009324789047241211,459.0,12.0,30.0,2.0,0.5,0.24,0.2247191011235955,0.3125,AirHitam,XGBoost,default,holdout,-1.0,gsmote
0.9005964214711729,0.49545514861995754,0.05,0.03125,0.038461538461538464,0.4930253184970166,0.5415339702760085,0.08043181762042671,0.0922488597438215,-0.011014632577584837,0.276566743850708,0.008601188659667969,452.0,19.0,31.0,1.0,0.5,0.26,0.1568627450980392,0.375,AirHitam,XGBoost,tuned,holdout,-1.0,gsmote
0.9363817097415507,0.5,0.0,0.0,0.0,0.48357289527720737,0.5358943736730362,0.08684542309204865,0.06186813840537456,0.0,4.87888765335083,0.6714537143707275,471.0,0.0,32.0,0.0,0.5,0.05,0.13333333333333333,0.25,AirHitam,TabFM,standard,holdout,-1.0,gsmote
0.9343936381709742,0.4989384288747346,0.0,0.0,0.0,0.4830421377183967,0.534368365180467,0.0742893689666859,0.06480454117072912,-0.0038705775627456696,31.27580738067627,0.7471539974212646,470.0,1.0,32.0,0.0,0.5,0.1,0.10526315789473684,0.125,AirHitam,TabFM,ensemble,holdout,-1.0,gsmote
0.867335562987737,0.5241053111465694,0.06666666666666667,0.14634146341463414,0.0916030534351145,0.5100228135485855,0.55476407567814,0.07288982750805531,0.11362488740245262,0.030728159306982028,0.8385493755340576,0.12236380577087402,772.0,84.0,35.0,6.0,0.5,0.53,0.11538461538461539,0.14634146341463414,AirHitam,RandomForest,default,spatial_cv,0.0,gsmote
0.8843710292249047,0.5247485565282175,0.13636363636363635,0.1016949152542373,0.11650485436893204,0.527321087959449,0.5427453902030174,0.09433789840332618,0.11613178144853877,0.05604397052814725,0.8494253158569336,0.1254255771636963,690.0,38.0,53.0,6.0,0.5,0.39,0.1784037558685446,0.3220338983050847,AirHitam,RandomForest,default,spatial_cv,1.0,gsmote
0.8403869407496977,0.5221968709256845,0.1,0.15,0.12,0.5161170212765958,0.5880704041720992,0.09382985848033835,0.1189383748488513,0.03607947019867541,0.847973108291626,0.1215970516204834,686.0,81.0,51.0,9.0,0.5,0.45,0.18681318681318682,0.2833333333333333,AirHitam,RandomForest,default,spatial_cv,2.0,gsmote
0.907469342251951,0.5219113289263734,0.08,0.0975609756097561,0.08791208791208792,0.5195872829460616,0.52738203783907,0.06587075361690087,0.11656956696839856,0.03967649980006971,0.7936873435974121,0.11165308952331543,810.0,46.0,37.0,4.0,0.5,0.52,0.1038961038961039,0.0975609756097561,AirHitam,RandomForest,tuned,spatial_cv,0.0,gsmote
