location,sampler,cv,n,n_pos,n_neg,pos_rate,pr_auc,pr_auc_baseline,pr_auc_lift,roc_auc,precision_U,recall_U,f1_U,precision_H,recall_H,f1_macro,MCC,bal_acc,accuracy,tn,fp,fn,tp,thr_best_f1,f1_U_best,recall_U_best,n_train_fit,n_synthetic,params
AHCensus_Basemap,none,spatial,2511,160,2351,0.06371963361210672,0.06183177390410096,0.06371963361210672,-0.0018878597080057638,0.503868034878775,0.0,0.0,0.0,0.9359231077292751,0.9940450871969375,0.48205445544554454,-0.01953387586126721,0.49702254359846876,0.9307048984468339,2337,14,160,0,0.05,0.11289198606271778,0.50625,2008,0,{}
AHCensus_Basemap,none,random,2511,160,2351,0.06371963361210672,0.08337476477423099,0.06371963361210672,0.019655131162124265,0.5701071352615907,0.2,0.00625,0.012121212121212121,0.9365522745411013,0.9982985963419821,0.48928070076927394,0.024922302792217937,0.5022742981709911,0.9350856232576663,2347,4,159,1,0.12,0.1315345699831366,0.24375,2008,0,{}
AHCensus_Basemap,class_weighted_rf,spatial,2511,160,2351,0.06371963361210672,0.06274351790881136,0.06371963361210672,-0.000976115703295366,0.49666498298596345,0.0,0.0,0.0,0.9362549800796812,0.9995746490854955,0.4834396214770623,-0.005207110764926456,0.49978732454274777,0.9358821186778176,2350,1,160,0,0.05,0.1042296072507553,0.43125,2008,0,{}
AHCensus_Basemap,class_weighted_rf,random,2511,160,2351,0.06371963361210672,0.07764427102044923,0.06371963361210672,0.013924637408342502,0.5598003509145045,0.0,0.0,0.0,0.936229573535273,0.9991492981709911,0.48333333333333334,-0.00736543402863829,0.49957464908549554,0.9354838709677419,2349,2,160,0,0.05,0.13005551149881048,0.5125,2008,0,{}
AHCensus_Basemap,random_oversample,spatial,2511,160,2351,0.06371963361210672,0.060732198914132486,0.06371963361210672,-0.002987434697974238,0.4906050616758826,0.0,0.0,0.0,0.9356136820925554,0.9889408762228838,0.4807692307692308,-0.026684382310467273,0.4944704381114419,0.9259259259259259,2325,26,160,0,0.1,0.10475266731328807,0.3375,3761,1752,{}
AHCensus_Basemap,random_oversample,random,2511,160,2351,0.06371963361210672,0.07526154807107925,0.06371963361210672,0.011541914458972527,0.5460734793704807,0.17391304347826086,0.025,0.04371584699453552,0.9372990353697749,0.9919183326244151,0.5037756750988384,0.04337652523893256,0.5084591663122076,0.9303066507367582,2332,19,156,4,0.11,0.12967032967032968,0.36875,3761,1752,{}
AHCensus_Basemap,smote,spatial,2511,160,2351,0.06371963361210672,0.06306692301164071,0.06371963361210672,-0.000652710600466011,0.4935067524457677,0.057803468208092484,0.125,0.07905138339920949,0.9353348729792148,0.861335601871544,0.4879313604329971,-0.009682997358166636,0.493167800935772,0.8144165671047392,2025,326,140,20,0.06,0.12090909090909091,0.83125,3761,1752,"{""k_neighbors"": 5}"
AHCensus_Basemap,smote,random,2511,160,2351,0.06371963361210672,0.07446490190271635,0.06371963361210672,0.010745268290609622,0.5489326350489152,0.07278481012658228,0.14375,0.09663865546218488,0.9375854214123007,0.8753721820501914,0.5010250030500542,0.01408195495622524,0.5095610910250957,0.8287534846674631,2058,293,137,23,0.31,0.13808463251670378,0.3875,3761,1752,"{""k_neighbors"": 5}"
AHCensus_Basemap,gsmote,spatial,2511,160,2351,0.06371963361210672,0.06349971214798564,0.06371963361210672,-0.0002199214641210867,0.4981749787324542,0.05518763796909492,0.15625,0.08156606851549755,0.934402332361516,0.8179498085920884,0.4769363570066714,-0.016388433666225558,0.4870999042960442,0.7757865392273995,1923,428,135,25,0.09,0.1241250583294447,0.83125,3761,1752,"{""deformation_factor"": 0.0, ""k_neighbors"": 5, ""selection_strategy"": ""combined"", ""truncation_factor"": 1.0}"
AHCensus_Basemap,gsmote,random,2511,160,2351,0.06371963361210672,0.08466121896133934,0.06371963361210672,0.020941585349232614,0.5676520629519355,0.07109004739336493,0.1875,0.10309278350515463,0.9377692675921494,0.8332624415142492,0.4927626079687935,0.013562485363791264,0.5103812207571246,0.7921146953405018,1959,392,130,30,0.31,0.13703703703703704,0.4625,3761,1752,"{""deformation_factor"": 0.0, ""k_neighbors"": 5, ""selection_strategy"": ""combined"", ""truncation_factor"": 1.0}"
