location,sampler,cv,n,n_pos,n_neg,pos_rate,n_train_fit,n_synthetic,pr_auc,pr_auc_baseline,pr_auc_lift,roc_auc,accuracy,bal_acc,precision_U,recall_U,f1_U,precision_H,recall_H,f1_macro,MCC,tn,fp,fn,tp,thr_best_f1,f1_U_best,recall_U_best,params,gsmote_k_neighbors,gsmote_truncation_factor,gsmote_deformation_factor,gsmote_selection_strategy
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08991121450452019,0.09212344541685859,-0.002212230912338395,0.49641045154743785,0.5785352372178719,0.4848477929984779,0.08574739281575898,0.37,0.13922859830667922,0.9036697247706422,0.5996955859969558,0.4300900539566333,-0.017908323483990164,1182,789,126,74,0.09,0.17383669885864794,0.99,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": -1.0}",3,-1.0,0.0,minority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08204655220636857,0.09212344541685859,-0.010076893210490018,0.45803145611364793,0.7116536158452326,0.4728006088280061,0.07228915662650602,0.18,0.10315186246418338,0.9019725044829647,0.7656012176560122,0.4656813099368118,-0.037418368419824204,1509,462,164,36,0.05,0.16795279164775306,0.925,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": -1.0}",3,-1.0,0.0,majority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.0822171053361225,0.09212344541685859,-0.009906340080736084,0.4559639776763065,0.6946107784431138,0.46116818873668186,0.06566604127579738,0.175,0.09549795361527967,0.8992673992673993,0.7473363774733638,0.45589527772202054,-0.052186167103563205,1473,498,165,35,0.06,0.16941391941391942,0.925,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": -1.0}",3,-1.0,0.0,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08729954432235237,0.09212344541685859,-0.004823901094506214,0.4809538305428716,0.650852141870106,0.4730098934550989,0.07727272727272727,0.255,0.1186046511627907,0.9013898080741231,0.6910197869101978,0.4504568344843247,-0.03393819218481058,1362,609,149,51,0.05,0.17303469477382522,0.985,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": -1.0}",3,-1.0,0.5,minority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08013611317420923,0.09212344541685859,-0.011987332242649362,0.4512468290208016,0.7683095347766007,0.47480086250634196,0.0659025787965616,0.115,0.08378870673952642,0.9028540065861691,0.8346017250126839,0.4755879995601139,-0.03968140876309549,1645,326,177,23,0.05,0.16203259827420902,0.845,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": -1.0}",3,-1.0,0.5,majority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08027926931908153,0.09212344541685859,-0.011844176097777062,0.45347158802638254,0.7627821280515892,0.4740030441400304,0.06611570247933884,0.12,0.0852575488454707,0.9026548672566371,0.8280060882800608,0.4744890549202214,-0.04029566031487334,1632,339,176,24,0.05,0.16446124763705103,0.87,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": -1.0}",3,-1.0,0.5,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08245984951999256,0.09212344541685859,-0.009663595896866023,0.46256341958396757,0.751727314601566,0.4858853373921867,0.0794044665012407,0.16,0.10613598673300166,0.9049773755656109,0.8117706747843734,0.48098989761897476,-0.020997382207405425,1600,371,168,32,0.09,0.17361784675072744,0.895,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": -1.0}",3,-1.0,1.0,minority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.0807881243732417,0.09212344541685859,-0.011335321043616883,0.45391679350583464,0.8281897742975587,0.48306950786402836,0.06091370558375635,0.06,0.060453400503778336,0.9047619047619048,0.9061390157280568,0.4829516685662111,-0.034091899598432736,1786,185,188,12,0.1,0.15486194477791115,0.645,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": -1.0}",3,-1.0,1.0,majority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.07864904952294487,0.09212344541685859,-0.013474395893913721,0.44070395738203955,0.8263473053892215,0.4865474378488077,0.06829268292682927,0.07,0.0691358024691358,0.9053916581892166,0.9030948756976154,0.4866888054763764,-0.026608759335450694,1780,191,186,14,0.05,0.1540020263424519,0.76,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": -1.0}",3,-1.0,1.0,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.09060445755685508,0.09212344541685859,-0.0015189878600035123,0.49987569761542366,0.5725472132657762,0.5017668696093354,0.09284116331096197,0.415,0.15173674588665448,0.9083790133124511,0.5885337392186707,0.43301123008618436,0.0020764840446918513,1160,811,117,83,0.07,0.17360806663743972,0.99,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.0}",3,0.0,0.0,minority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08304084843811298,0.09212344541685859,-0.00908259697874561,0.4622234906139016,0.6867802855826808,0.46584094368340945,0.06989247311827956,0.195,0.10290237467018469,0.9001859888406696,0.7366818873668188,0.4565851159065209,-0.04521264210424478,1452,519,161,39,0.05,0.16870748299319727,0.93,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": 0.0}",3,0.0,0.0,majority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08238344115812991,0.09212344541685859,-0.009740004258728674,0.45906773211567725,0.680792261630585,0.45805048198883813,0.06525573192239859,0.185,0.09647979139504563,0.8983790523690773,0.7311009639776763,0.45131681877444585,-0.055235917143549224,1441,530,163,37,0.05,0.17207207207207206,0.955,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": 0.0}",3,0.0,0.0,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.0862344966309968,0.09212344541685859,-0.005888948785861783,0.47403982749873164,0.6416397973284201,0.48590690005073567,0.08477011494252873,0.295,0.13169642857142858,0.9044067796610169,0.6768138001014713,0.4529637105132245,-0.017466030236642373,1334,637,141,59,0.05,0.17299205648720212,0.98,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.0}",3,0.0,0.5,minority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.0815903363870006,0.09212344541685859,-0.01053310902985799,0.4575900558092339,0.7480423767848917,0.479363267376966,0.07371007371007371,0.15,0.09884678747940692,0.9036281179138322,0.808726534753932,0.4761971554532242,-0.030583187545181943,1594,377,170,30,0.09,0.1641025641025641,0.8,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": 0.0}",3,0.0,0.5,majority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08047399542786049,0.09212344541685859,-0.011649449988998098,0.4522805682394723,0.751727314601566,0.4724074074074074,0.06649616368286446,0.13,0.08798646362098139,0.902247191011236,0.8148148148148148,0.4721457244791124,-0.04153196069864411,1606,365,174,26,0.06,0.16460513796384396,0.865,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": 0.0}",3,0.0,0.5,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08175682435551865,0.09212344541685859,-0.01036662106133994,0.4652866565195332,0.7333026255181944,0.47573820395738203,0.07223476297968397,0.16,0.09953343701399689,0.9027777777777778,0.791476407914764,0.4715023227243545,-0.03482070188165919,1560,411,168,32,0.06,0.1706642066420664,0.925,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.0}",3,0.0,1.0,minority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.08135479616157447,0.09212344541685859,-0.010768649255284118,0.4588533739218671,0.8037770612620913,0.4696245560629122,0.048,0.06,0.05333333333333334,0.9021343050494534,0.8792491121258245,0.4719390202124015,-0.05503985140521818,1733,238,188,12,0.06,0.1589873417721519,0.785,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": 0.0}",3,0.0,1.0,majority
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.07989639093102012,0.09212344541685859,-0.012227054485838468,0.45275621511922887,0.7996315062183326,0.4785730593607306,0.06319702602230483,0.085,0.07249466950959488,0.9037854889589906,0.8721461187214612,0.48008931771374397,-0.03761552050826231,1719,252,183,17,0.05,0.15933528836754643,0.815,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": 0.0}",3,0.0,1.0,combined
Palong_Basemap,gsmote,spatial,2171,200,1971,0.09212344541685859,3153,1416,0.09103160331753445,0.09212344541685859,-0.0010918420993241418,0.49579020801623547,0.5859051128512206,0.4911529680365297,0.08833922261484099,0.375,0.14299332697807435,0.905446293494705,0.6073059360730594,0.4349949932795018,-0.010486156361157132,1197,774,125,75,0.13,0.17505668934240362,0.965,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.5}",3,0.5,0.0,minority
