estate,sampler,cv,feature,importance
AHCensus_Basemap,none,spatial,HH_meanW3,0.266428461285615
AHCensus_Basemap,none,spatial,HV_meanW3,0.252678557978138
AHCensus_Basemap,none,spatial,VV_meanW3,0.23554728352338125
AHCensus_Basemap,none,spatial,VH_meanW3,0.24534569721286575
AHCensus_Basemap,none,random,HH_meanW3,0.2667353719997165
AHCensus_Basemap,none,random,HV_meanW3,0.25130190926798546
AHCensus_Basemap,none,random,VV_meanW3,0.2378647684208667
AHCensus_Basemap,none,random,VH_meanW3,0.24409795031143133
AHCensus_Basemap,class_weighted_rf,spatial,HH_meanW3,0.27019581330936804
AHCensus_Basemap,class_weighted_rf,spatial,HV_meanW3,0.25620341880131703
AHCensus_Basemap,class_weighted_rf,spatial,VV_meanW3,0.2351839557793705
AHCensus_Basemap,class_weighted_rf,spatial,VH_meanW3,0.23841681210994445
AHCensus_Basemap,class_weighted_rf,random,HH_meanW3,0.2658467641773984
AHCensus_Basemap,class_weighted_rf,random,HV_meanW3,0.2558327125490439
AHCensus_Basemap,class_weighted_rf,random,VV_meanW3,0.23925161832675398
AHCensus_Basemap,class_weighted_rf,random,VH_meanW3,0.23906890494680377
AHCensus_Basemap,random_oversample,spatial,HH_meanW3,0.2736798781006602
AHCensus_Basemap,random_oversample,spatial,HV_meanW3,0.2579743703500033
AHCensus_Basemap,random_oversample,spatial,VV_meanW3,0.23154067557708266
AHCensus_Basemap,random_oversample,spatial,VH_meanW3,0.2368050759722539
AHCensus_Basemap,random_oversample,random,HH_meanW3,0.2694968061669
AHCensus_Basemap,random_oversample,random,HV_meanW3,0.25516246313077773
AHCensus_Basemap,random_oversample,random,VV_meanW3,0.23838320707408908
AHCensus_Basemap,random_oversample,random,VH_meanW3,0.23695752362823325
AHCensus_Basemap,smote,spatial,HH_meanW3,0.2515596644760294
AHCensus_Basemap,smote,spatial,HV_meanW3,0.24800760526369156
AHCensus_Basemap,smote,spatial,VV_meanW3,0.24452362180676218
AHCensus_Basemap,smote,spatial,VH_meanW3,0.2559091084535168
AHCensus_Basemap,smote,random,HH_meanW3,0.24735678269145445
AHCensus_Basemap,smote,random,HV_meanW3,0.2472921210976716
AHCensus_Basemap,smote,random,VV_meanW3,0.25309291716080895
AHCensus_Basemap,smote,random,VH_meanW3,0.25225817905006503
AHCensus_Basemap,gsmote,spatial,HH_meanW3,0.262432290605432
AHCensus_Basemap,gsmote,spatial,HV_meanW3,0.24885461733001657
AHCensus_Basemap,gsmote,spatial,VV_meanW3,0.23878386226579557
AHCensus_Basemap,gsmote,spatial,VH_meanW3,0.24992922979875587
AHCensus_Basemap,gsmote,random,HH_meanW3,0.25751113859561503
AHCensus_Basemap,gsmote,random,HV_meanW3,0.2509889107403579
AHCensus_Basemap,gsmote,random,VV_meanW3,0.24336787843575883
AHCensus_Basemap,gsmote,random,VH_meanW3,0.2481320722282682
Palong_Basemap,none,spatial,HH_meanW3,0.24782659517969155
Palong_Basemap,none,spatial,HV_meanW3,0.2453302379822367
Palong_Basemap,none,spatial,VV_meanW3,0.2519783099161624
Palong_Basemap,none,spatial,VH_meanW3,0.2548648569219094
Palong_Basemap,none,random,HH_meanW3,0.24537069052439536
Palong_Basemap,none,random,HV_meanW3,0.24492229770752383
Palong_Basemap,none,random,VV_meanW3,0.253860763268566
Palong_Basemap,none,random,VH_meanW3,0.25584624849951487
Palong_Basemap,class_weighted_rf,spatial,HH_meanW3,0.24360927165574314
Palong_Basemap,class_weighted_rf,spatial,HV_meanW3,0.23990796694559782
Palong_Basemap,class_weighted_rf,spatial,VV_meanW3,0.2502863756495265
Palong_Basemap,class_weighted_rf,spatial,VH_meanW3,0.2661963857491325
Palong_Basemap,class_weighted_rf,random,HH_meanW3,0.23824005351541402
Palong_Basemap,class_weighted_rf,random,HV_meanW3,0.24054314233956023
Palong_Basemap,class_weighted_rf,random,VV_meanW3,0.252097866643464
Palong_Basemap,class_weighted_rf,random,VH_meanW3,0.2691189375015618
Palong_Basemap,random_oversample,spatial,HH_meanW3,0.2494634418339087
Palong_Basemap,random_oversample,spatial,HV_meanW3,0.2368937554581712
Palong_Basemap,random_oversample,spatial,VV_meanW3,0.2496901952660659
Palong_Basemap,random_oversample,spatial,VH_meanW3,0.2639526074418542
Palong_Basemap,random_oversample,random,HH_meanW3,0.23619049105650008
Palong_Basemap,random_oversample,random,HV_meanW3,0.2445821446203945
Palong_Basemap,random_oversample,random,VV_meanW3,0.25118776979579904
Palong_Basemap,random_oversample,random,VH_meanW3,0.2680395945273063
Palong_Basemap,smote,spatial,HH_meanW3,0.2677886450185769
Palong_Basemap,smote,spatial,HV_meanW3,0.23796945746352144
Palong_Basemap,smote,spatial,VV_meanW3,0.24726768740027644
Palong_Basemap,smote,spatial,VH_meanW3,0.2469742101176252
Palong_Basemap,smote,random,HH_meanW3,0.262995414668321
Palong_Basemap,smote,random,HV_meanW3,0.2364773462219615
Palong_Basemap,smote,random,VV_meanW3,0.25211871934775676
Palong_Basemap,smote,random,VH_meanW3,0.24840851976196085
Palong_Basemap,gsmote,spatial,HH_meanW3,0.2620377064546048
Palong_Basemap,gsmote,spatial,HV_meanW3,0.2438372752899421
Palong_Basemap,gsmote,spatial,VV_meanW3,0.2452735670931181
Palong_Basemap,gsmote,spatial,VH_meanW3,0.24885145116233504
Palong_Basemap,gsmote,random,HH_meanW3,0.25763115966737243
Palong_Basemap,gsmote,random,HV_meanW3,0.2393528185011844
Palong_Basemap,gsmote,random,VV_meanW3,0.2531384762772977
Palong_Basemap,gsmote,random,VH_meanW3,0.24987754555414546
Serting_Basemap,none,spatial,HH_meanW3,0.2529643518825102
Serting_Basemap,none,spatial,HV_meanW3,0.23176649478431255
Serting_Basemap,none,spatial,VV_meanW3,0.25332700860779295
Serting_Basemap,none,spatial,VH_meanW3,0.2619421447253843
Serting_Basemap,none,random,HH_meanW3,0.25272895468436685
Serting_Basemap,none,random,HV_meanW3,0.23152849602756503
Serting_Basemap,none,random,VV_meanW3,0.2573494877706052
Serting_Basemap,none,random,VH_meanW3,0.258393061517463
Serting_Basemap,class_weighted_rf,spatial,HH_meanW3,0.2609474914372715
Serting_Basemap,class_weighted_rf,spatial,HV_meanW3,0.22431165872547396
Serting_Basemap,class_weighted_rf,spatial,VV_meanW3,0.2613066204976637
Serting_Basemap,class_weighted_rf,spatial,VH_meanW3,0.2534342293395908
Serting_Basemap,class_weighted_rf,random,HH_meanW3,0.26495335159036904
Serting_Basemap,class_weighted_rf,random,HV_meanW3,0.2214535399068842
Serting_Basemap,class_weighted_rf,random,VV_meanW3,0.2667680864332187
Serting_Basemap,class_weighted_rf,random,VH_meanW3,0.2468250220695281
Serting_Basemap,random_oversample,spatial,HH_meanW3,0.25656672420333393
Serting_Basemap,random_oversample,spatial,HV_meanW3,0.22540664809115807
