config,n_feat,pr_auc,pr_std,roc_auc,f1_unhealthy,recall_unhealthy
all_raw,78,0.38444260199492736,0.07041266873452391,0.820293339973013,0.29393408375434193,0.205
dedup90 (CUR),58,0.3906840538691193,0.07458085822550262,0.8187041299877915,0.2802492568474811,0.19
dedup80,37,0.36456657221169353,0.07788494964484534,0.7996713438925657,0.20222425750137085,0.1275
pca95,24,0.2610408852208076,0.05445969028609075,0.7429033685664717,0.07849674020705555,0.045000000000000005
pca20,20,0.2582346507157825,0.05373064742873018,0.7390331394975262,0.073405900410243,0.0425
kbest_f15,15,0.27767219706856505,0.06571736868865315,0.7315247542247638,0.20081558777449326,0.135
kbest_f25,25,0.31828546871974017,0.05386738052251502,0.7753432821435455,0.22184717881301222,0.155
kbest_mi15,15,0.3395363713958473,0.076981268229831,0.8039824262674291,0.31452691088388074,0.265
kbest_mi25,25,0.350502921957747,0.07205634293787067,0.8082324021718177,0.3335900966852983,0.265
rfe15,15,0.3341774869482395,0.0654524370840477,0.7977746578423184,0.2850769720233258,0.22750000000000004
imp15,15,0.3303872446255469,0.06477742006442395,0.7881473526954956,0.28127873971571254,0.2225
imp25,25,0.35314232262986023,0.0588768370268457,0.808442612285549,0.29142820911004946,0.2225
imp35,35,0.3788406704812931,0.061281023394282465,0.8187215430829532,0.29402275280678186,0.215
