loc,s,label,selector,n_plots,pos_plots,pr_auc,bal,rec,f1
Serting_Basemap,3,any,raw,260,90,0.431+-0.076,0.500+-0.000,0.000+-0.000,0.000+-0.000
Serting_Basemap,3,any,mi40,260,90,0.381+-0.073,0.496+-0.006,0.000+-0.000,0.000+-0.000
Serting_Basemap,3,frac20,raw,260,56,0.342+-0.115,0.500+-0.000,0.000+-0.000,0.000+-0.000
Serting_Basemap,3,frac20,mi40,260,56,0.278+-0.066,0.500+-0.000,0.000+-0.000,0.000+-0.000
Serting_Basemap,5,any,raw,99,60,0.701+-0.046,0.593+-0.105,0.503+-0.120,0.584+-0.117
Serting_Basemap,5,any,mi40,99,60,0.716+-0.039,0.516+-0.027,0.363+-0.125,0.446+-0.116
Serting_Basemap,5,frac20,raw,99,17,0.225+-0.072,0.500+-0.000,0.000+-0.000,0.000+-0.000
Serting_Basemap,5,frac20,mi40,99,17,0.304+-0.072,0.500+-0.000,0.000+-0.000,0.000+-0.000
Palong_Basemap,3,any,raw,398,109,0.513+-0.121,0.514+-0.020,0.028+-0.039,0.051+-0.073
Palong_Basemap,3,any,mi40,398,109,0.470+-0.153,0.524+-0.034,0.056+-0.079,0.086+-0.122
Palong_Basemap,3,frac20,raw,398,83,0.330+-0.153,0.500+-0.000,0.000+-0.000,0.000+-0.000
Palong_Basemap,3,frac20,mi40,398,83,0.352+-0.234,0.500+-0.000,0.000+-0.000,0.000+-0.000
Palong_Basemap,5,any,raw,158,68,0.584+-0.230,0.513+-0.010,0.048+-0.039,0.083+-0.063
Palong_Basemap,5,any,mi40,158,68,0.610+-0.211,0.553+-0.041,0.194+-0.156,0.243+-0.181
Palong_Basemap,5,frac20,raw,158,30,0.203+-0.068,0.500+-0.000,0.000+-0.000,0.000+-0.000
Palong_Basemap,5,frac20,mi40,158,30,0.212+-0.058,0.497+-0.003,0.000+-0.000,0.000+-0.000
