location,band,window,n_h,n_u,mean_h,mean_u,std_h,std_u,median_h,median_u,diff,cohen_d,mwu_p,frac_unhealthy_below_healthy_median
Palong_Basemap,HH,3,1971,200,0.1534,0.1386,0.0684,0.0453,0.1398,0.1342,-0.0148,-0.2556,0.014531314957738605,0.545
Palong_Basemap,HV,3,1971,200,0.0227,0.0211,0.008,0.0051,0.0209,0.0208,-0.0016,-0.2428,0.16150150037480548,0.535
Palong_Basemap,VH,3,1971,200,0.1099,0.0905,0.0712,0.0317,0.0895,0.0843,-0.0195,-0.3526,0.00051651734681347,0.545
Palong_Basemap,VV,3,1971,200,0.0229,0.0212,0.0077,0.0053,0.0214,0.0206,-0.0017,-0.2552,0.034492589844109384,0.575
Palong_Basemap,HH,5,1971,200,0.1523,0.1405,0.0604,0.0413,0.1396,0.1376,-0.0118,-0.2275,0.07621619393806642,0.52
Palong_Basemap,HV,5,1971,200,0.0226,0.0211,0.0074,0.0042,0.0207,0.0206,-0.0014,-0.2398,0.49230832203402664,0.505
Palong_Basemap,VH,5,1971,200,0.1091,0.0916,0.0631,0.0289,0.089,0.0863,-0.0175,-0.356,0.0035082495598302275,0.54
Palong_Basemap,VV,5,1971,200,0.0228,0.0212,0.0071,0.0045,0.0212,0.0209,-0.0016,-0.2643,0.07360552278531969,0.56
Serting_Basemap,HH,3,1513,154,0.1652,0.1636,0.0331,0.03,0.1642,0.1597,-0.0017,-0.0527,0.3704048177111565,0.5584
Serting_Basemap,HV,3,1513,154,0.0227,0.0234,0.0044,0.0045,0.0226,0.0234,0.0008,0.1784,0.04070884319572885,0.4416
Serting_Basemap,VH,3,1513,154,0.1005,0.102,0.0227,0.0238,0.0975,0.0967,0.0015,0.0654,0.6619150105085488,0.5065
Serting_Basemap,VV,3,1513,154,0.0224,0.0236,0.0044,0.0045,0.0221,0.0231,0.0012,0.2666,0.0026556572254383863,0.3831
Serting_Basemap,HH,5,1513,154,0.1652,0.1644,0.0263,0.0227,0.1648,0.1622,-0.0008,-0.0342,0.5420945297847106,0.5714
Serting_Basemap,HV,5,1513,154,0.0227,0.0235,0.0036,0.0033,0.0228,0.024,0.0008,0.2429,0.0015437812128231533,0.4026
Serting_Basemap,VH,5,1513,154,0.1007,0.1012,0.019,0.0188,0.0988,0.098,0.0005,0.0276,0.9472525939330558,0.526
Serting_Basemap,VV,5,1513,154,0.0224,0.0233,0.0035,0.0033,0.0222,0.0235,0.0009,0.274,0.001172867280133847,0.3831
