location,band,window,mean_h,mean_u,diff,cohen_d,mwu_p
Palong_Basemap,HH,3,0.1534,0.1386,-0.0148,-0.2556,0.014531314957738605
Palong_Basemap,HH,5,0.1523,0.1405,-0.0118,-0.2275,0.07621619393806642
Palong_Basemap,HH,7,0.1511,0.1418,-0.0093,-0.1998,0.31365228357978137
Palong_Basemap,HH,9,0.15,0.1429,-0.0071,-0.168,0.76282942736307
Palong_Basemap,HH,11,0.1489,0.1441,-0.0048,-0.1226,0.7050726859174994
Palong_Basemap,HH,15,0.1474,0.1464,-0.001,-0.0294,0.12959443427380463
Palong_Basemap,HH,21,0.1468,0.1476,0.0008,0.0307,0.022334893362285325
Palong_Basemap,HV,3,0.0227,0.0211,-0.0016,-0.2428,0.16150150037480548
Palong_Basemap,HV,5,0.0226,0.0211,-0.0014,-0.2398,0.49230832203402664
Palong_Basemap,HV,7,0.0225,0.0212,-0.0013,-0.2308,0.9710075286524514
Palong_Basemap,HV,9,0.0224,0.0213,-0.0011,-0.2113,0.49574730784632703
Palong_Basemap,HV,11,0.0223,0.0213,-0.0009,-0.1857,0.21731234734811333
Palong_Basemap,HV,15,0.0221,0.0215,-0.0006,-0.1344,0.07316811828980499
Palong_Basemap,HV,21,0.022,0.0216,-0.0004,-0.1135,0.26552568399949406
Palong_Basemap,VH,3,0.1099,0.0905,-0.0195,-0.3526,0.00051651734681347
Palong_Basemap,VH,5,0.1091,0.0916,-0.0175,-0.356,0.0035082495598302275
Palong_Basemap,VH,7,0.1082,0.0931,-0.0152,-0.3373,0.05407095277329273
Palong_Basemap,VH,9,0.1074,0.0949,-0.0125,-0.2961,0.30873135204440183
Palong_Basemap,VH,11,0.1064,0.0967,-0.0097,-0.2458,0.760934798197369
Palong_Basemap,VH,15,0.105,0.0997,-0.0053,-0.1511,0.29970497283376873
Palong_Basemap,VH,21,0.1042,0.1015,-0.0027,-0.0931,0.2730688061576695
Palong_Basemap,VV,3,0.0229,0.0212,-0.0017,-0.2552,0.034492589844109384
Palong_Basemap,VV,5,0.0228,0.0212,-0.0016,-0.2643,0.07360552278531969
Palong_Basemap,VV,7,0.0227,0.0213,-0.0014,-0.2588,0.19959075647609048
Palong_Basemap,VV,9,0.0226,0.0214,-0.0012,-0.2316,0.6267318007141903
Palong_Basemap,VV,11,0.0225,0.0215,-0.001,-0.197,0.8377215504542035
Palong_Basemap,VV,15,0.0224,0.0218,-0.0006,-0.1409,0.21341023336742437
Palong_Basemap,VV,21,0.0223,0.0219,-0.0005,-0.1233,0.27141441382198905
Serting_Basemap,HH,3,0.1652,0.1636,-0.0017,-0.0527,0.3704048177111565
Serting_Basemap,HH,5,0.1652,0.1644,-0.0008,-0.0342,0.5420945297847106
Serting_Basemap,HH,7,0.1649,0.1654,0.0005,0.0236,0.9828266354464247
Serting_Basemap,HH,9,0.1646,0.1656,0.0009,0.0532,0.7339139504094081
Serting_Basemap,HH,11,0.1644,0.1653,0.0009,0.059,0.6508669853645652
Serting_Basemap,HH,15,0.164,0.1649,0.0008,0.0686,0.5076255825949243
Serting_Basemap,HH,21,0.1634,0.1638,0.0004,0.0456,0.48318004024630745
Serting_Basemap,HV,3,0.0227,0.0234,0.0008,0.1784,0.04070884319572885
Serting_Basemap,HV,5,0.0227,0.0235,0.0008,0.2429,0.0015437812128231533
Serting_Basemap,HV,7,0.0227,0.0234,0.0007,0.2549,0.0008714628707685463
Serting_Basemap,HV,9,0.0227,0.0233,0.0006,0.247,0.001466354232189373
Serting_Basemap,HV,11,0.0227,0.0232,0.0005,0.2436,0.0026296923814097544
Serting_Basemap,HV,15,0.0227,0.023,0.0003,0.1977,0.015132430779469673
Serting_Basemap,HV,21,0.0227,0.0228,0.0001,0.1121,0.14944599688513127
Serting_Basemap,VH,3,0.1005,0.102,0.0015,0.0654,0.6619150105085488
Serting_Basemap,VH,5,0.1007,0.1012,0.0005,0.0276,0.9472525939330558
Serting_Basemap,VH,7,0.1007,0.1004,-0.0003,-0.0201,0.5778128429015937
Serting_Basemap,VH,9,0.1006,0.1,-0.0006,-0.0486,0.32975271613401824
Serting_Basemap,VH,11,0.1005,0.0995,-0.001,-0.0845,0.10132381716074948
Serting_Basemap,VH,15,0.1002,0.0994,-0.0009,-0.1003,0.06589493128259388
Serting_Basemap,VH,21,0.1,0.0989,-0.0011,-0.1802,0.008888003305540597
Serting_Basemap,VV,3,0.0224,0.0236,0.0012,0.2666,0.0026556572254383863
Serting_Basemap,VV,5,0.0224,0.0233,0.0009,0.274,0.001172867280133847
Serting_Basemap,VV,7,0.0225,0.0231,0.0006,0.2381,0.005105394860115909
Serting_Basemap,VV,9,0.0225,0.0229,0.0004,0.1848,0.028229281775081612
Serting_Basemap,VV,11,0.0225,0.0228,0.0002,0.1272,0.11614318474276669
Serting_Basemap,VV,15,0.0225,0.0226,0.0,0.0331,0.4797875636130784
Serting_Basemap,VV,21,0.0226,0.0225,-0.0001,-0.0655,0.5491023837141469
