estate,cv,model,feature_set,budget,k,precision,recall,enrichment
AHCensus_Basemap,leave_one_region_out_4,logreg_l2,raw4_plus_local_plus_coords,0.01,26,0.19230769230769232,0.03125,3.0180288461538467
AHCensus_Basemap,leave_one_region_out_4,logreg_l2,raw4_plus_local_plus_coords,0.05,126,0.1984126984126984,0.15625,3.113839285714286
AHCensus_Basemap,leave_one_region_out_4,logreg_l2,raw4_plus_local_plus_coords,0.1,252,0.15873015873015872,0.25,2.491071428571429
AHCensus_Basemap,leave_one_region_out_4,logreg_l2,raw4_plus_local_plus_coords,0.15,377,0.129973474801061,0.30625,2.0397712201591514
AHCensus_Basemap,leave_one_region_out_4,logreg_l2,raw4_plus_local_plus_coords,0.2,503,0.11332007952286283,0.35625,1.7784169980119287
AHCensus_Basemap,leave_one_region_out_4,logreg_l2,raw4_plus_local_plus_coords,0.25,628,0.10031847133757962,0.39375,1.5743730095541404
AHCensus_Basemap,leave_one_region_out_4,logreg_l2,raw4_plus_local_plus_coords,0.3,754,0.09283819628647215,0.4375,1.4569794429708225
AHCensus_Basemap,leave_one_region_out_4,logreg_l2,raw4_plus_local_plus_coords,0.4,1005,0.09353233830845771,0.5875,1.4678731343283584
AHCensus_Basemap,leave_one_region_out_4,logreg_l2,raw4_plus_local_plus_coords,0.5,1256,0.08598726114649681,0.675,1.3494625796178343
AHCensus_Basemap,spatial_5fold_repeated,logreg_l2,raw4_plus_local_plus_coords,0.01,26,0.19230769230769232,0.03125,3.0180288461538467
AHCensus_Basemap,spatial_5fold_repeated,logreg_l2,raw4_plus_local_plus_coords,0.05,126,0.16666666666666666,0.13125,2.615625
AHCensus_Basemap,spatial_5fold_repeated,logreg_l2,raw4_plus_local_plus_coords,0.1,252,0.1388888888888889,0.21875,2.1796875000000004
AHCensus_Basemap,spatial_5fold_repeated,logreg_l2,raw4_plus_local_plus_coords,0.15,377,0.129973474801061,0.30625,2.0397712201591514
AHCensus_Basemap,spatial_5fold_repeated,logreg_l2,raw4_plus_local_plus_coords,0.2,503,0.10934393638170974,0.34375,1.7160164015904573
AHCensus_Basemap,spatial_5fold_repeated,logreg_l2,raw4_plus_local_plus_coords,0.25,628,0.10191082802547771,0.4,1.599363057324841
AHCensus_Basemap,spatial_5fold_repeated,logreg_l2,raw4_plus_local_plus_coords,0.3,754,0.10212201591511937,0.48125,1.6026773872679048
AHCensus_Basemap,spatial_5fold_repeated,logreg_l2,raw4_plus_local_plus_coords,0.4,1005,0.09154228855721393,0.575,1.4366417910447762
