protocol,estate,role,stage,model,feature_set,pos_rate_mean,pr_auc_mean,pr_auc_std,pr_auc_lift_mean,roc_auc_mean,enrichment_at_5pct_mean,enrichment_at_10pct_mean,recall_at_10pct_mean
block_5fold,AHCensus_Basemap,RF baseline,supervised,rf_balanced,all14,,0.07197036400139353,0.0012704420829077047,0.008250730389286767,0.5225223309230115,1.370089285714286,1.1624999999999999,0.11666666666666665
block_5fold,AHCensus_Basemap,Best supervised SAR,supervised,logreg_l2,log_raw4,,0.09177470782176,0.0,0.028055074209653297,0.5686516376010209,1.9928571428571429,1.6814732142857143,0.16875000000000004
block_5fold,AHCensus_Basemap,Best Healthy-only,healthy_only,pca_recon_10,all14,,0.0721203109854744,0.0,0.0084006773733677,0.5189679923436835,1.2455357142857144,1.3078125,0.13125
block_5fold,AHCensus_Basemap,Best SAR + spatial,spatial_fusion,logreg_l2,raw4_plus_local_plus_coords,,0.1208269243817549,0.0,0.05710729076964819,0.6200180774138665,2.615625,2.1796875000000004,0.21875
block_5fold,AHCensus_Basemap,Spatial label context,spatial_context,knn_label_fraction_25,coords_plus_training_labels,,0.09893587190371371,0.0,0.035216238291607,0.5842566992769035,2.366517857142857,1.9928571428571429,0.20000000000000004
broad_region_4fold,AHCensus_Basemap,RF baseline,supervised_broad_spatial,rf_balanced,all14,,0.0661217289919319,,0.0024020953798252,0.5052291578051893,1.120982142857143,0.9964285714285714,0.1
broad_region_4fold,AHCensus_Basemap,Best supervised SAR,supervised_broad_spatial,logreg_l2,log_raw4,,0.0924949878047396,,0.0287753541926329,0.5880928328370907,1.8683035714285716,1.6814732142857145,0.16875
broad_region_4fold,AHCensus_Basemap,Best Healthy-only,healthy_only_broad_spatial,pca_recon_10,all14,,0.0733416660347667,,0.00962203242266,0.5211665248830285,1.3700892857142857,1.3700892857142857,0.1375
broad_region_4fold,AHCensus_Basemap,Best SAR + spatial,spatial_fusion,logreg_l2,raw4_plus_local_plus_coords,,0.1252648210509225,,0.0615451874388157,0.6175005316886432,3.113839285714286,2.491071428571429,0.25
broad_region_4fold,AHCensus_Basemap,Spatial label context,spatial_context,knn_label_fraction_10,coords_plus_training_labels,,0.0825316641154461,,0.0188120305033393,0.4959033390046789,2.366517857142857,1.2455357142857144,0.125
block_5fold,Palong_Basemap,RF baseline,supervised,rf_balanced,all14,,0.0872868216711652,0.0004986875240977795,-0.0048366237456933,0.4853242854726873,0.9958715596330276,0.8962844036697248,0.09000000000000001
block_5fold,Palong_Basemap,Best supervised SAR,supervised,logreg_l2,log_raw4,,0.1144037252724211,0.0,0.0222802798555625,0.5509195839675292,1.4938073394495417,1.4440137614678903,0.145
block_5fold,Palong_Basemap,Best Healthy-only,healthy_only,pca_recon_10,local14,,0.11069011860179,0.0,0.0185666731849314,0.5764003044140031,1.195045871559633,1.294633027522936,0.13
block_5fold,Palong_Basemap,Best SAR + spatial,spatial_fusion,logreg_l2,all14_plus_coords,,0.2385001348975048,0.0,0.1463766894806463,0.7462125824454592,2.8880275229357806,2.390091743119266,0.24
block_5fold,Palong_Basemap,Spatial label context,spatial_context,nearest_u_minus_h,coords_plus_training_labels,,0.1555171266293578,0.0,0.0633936812124992,0.6631912734652461,2.091330275229358,1.5933944954128443,0.16
broad_region_4fold,Palong_Basemap,RF baseline,supervised_broad_spatial,rf_balanced,all14,,0.0802331359671485,,-0.01189030944971,0.4543429731100964,0.398348623853211,0.6473165137614679,0.065
broad_region_4fold,Palong_Basemap,Best supervised SAR,supervised_broad_spatial,logreg_l2,all14,,0.110788376099366,,0.0186649306825074,0.5579984779299848,1.3942201834862389,1.294633027522936,0.13
broad_region_4fold,Palong_Basemap,Best Healthy-only,healthy_only_broad_spatial,pca_recon_10,local14,,0.112115916164014,,0.0199924707471554,0.581537290715373,1.195045871559633,1.3444266055045873,0.135
broad_region_4fold,Palong_Basemap,Best SAR + spatial,spatial_fusion,logreg_l2,all14_plus_coords,,0.2423947228127078,,0.1502712773958492,0.742054794520548,3.186788990825689,2.4398853211009177,0.245
