stage,cv,estate,model,feature_set,repeat,n,n_pos,n_neg,pos_rate,pr_auc,pr_auc_lift,roc_auc,precision_at_1pct,recall_at_1pct,enrichment_at_1pct,precision_at_5pct,recall_at_5pct,enrichment_at_5pct,precision_at_10pct,recall_at_10pct,enrichment_at_10pct,precision_at_20pct,recall_at_20pct,enrichment_at_20pct
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,ocsvm_nu05,all14,0,2511,160,2351,0.06371963361210672,0.0682729854364187,0.004553351824311977,0.5177424500212675,0.038461538461538464,0.00625,0.6036057692307694,0.0873015873015873,0.06875,1.3700892857142857,0.07936507936507936,0.125,1.2455357142857144,0.0775347912524851,0.24375,1.216811630218688
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,ocsvm_nu10,all14,0,2511,160,2351,0.06371963361210672,0.06897215631026075,0.00525252269815403,0.5230380689068481,0.038461538461538464,0.00625,0.6036057692307694,0.07936507936507936,0.0625,1.2455357142857144,0.07142857142857142,0.1125,1.120982142857143,0.06958250497017893,0.21875,1.0920104373757455
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,ocsvm_nu20,all14,0,2511,160,2351,0.06371963361210672,0.06831995621667955,0.004600322604572826,0.5214403445342408,0.038461538461538464,0.00625,0.6036057692307694,0.07142857142857142,0.05625,1.120982142857143,0.07936507936507936,0.125,1.2455357142857144,0.061630218687872766,0.19375,0.9672092445328033
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,isolation_forest,all14,0,2511,160,2351,0.06371963361210672,0.06748389379609919,0.0037642601839924655,0.514039238621863,0.038461538461538464,0.00625,0.6036057692307694,0.07142857142857142,0.05625,1.120982142857143,0.07936507936507936,0.125,1.2455357142857144,0.06759443339960239,0.2125,1.06081013916501
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,lof_25,all14,0,2511,160,2351,0.06371963361210672,0.06551937461297316,0.0017997410008664394,0.4989552318162484,0.11538461538461539,0.01875,1.810817307692308,0.03968253968253968,0.03125,0.6227678571428572,0.06746031746031746,0.10625,1.0587053571428573,0.05964214711729622,0.1875,0.9360089463220677
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,gmm_4,all14,0,2511,160,2351,0.06371963361210672,0.06359457917254123,-0.00012505443956549456,0.4859846873670778,0.038461538461538464,0.00625,0.6036057692307694,0.07142857142857142,0.05625,1.120982142857143,0.05952380952380952,0.09375,0.9341517857142857,0.06560636182902585,0.20625,1.0296098409542744
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,gmm_8,all14,0,2511,160,2351,0.06371963361210672,0.06664538053768806,0.0029257469255813406,0.4901238834538494,0.11538461538461539,0.01875,1.810817307692308,0.07936507936507936,0.0625,1.2455357142857144,0.07539682539682539,0.11875,1.1832589285714286,0.06560636182902585,0.20625,1.0296098409542744
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,pca_recon_10,all14,0,2511,160,2351,0.06371963361210672,0.07212031098547447,0.008400677373367749,0.5189679923436835,0.07692307692307693,0.0125,1.2072115384615387,0.07936507936507936,0.0625,1.2455357142857144,0.08333333333333333,0.13125,1.3078125,0.07952286282306163,0.25,1.2480119284294235
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,knn_dist_20,all14,0,2511,160,2351,0.06371963361210672,0.06047462730503882,-0.0032450063070679075,0.4749946831135687,0.038461538461538464,0.00625,0.6036057692307694,0.06349206349206349,0.05,0.9964285714285714,0.047619047619047616,0.075,0.7473214285714286,0.05765407554671968,0.18125,0.9048086481113321
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,mahalanobis,all14,0,2511,160,2351,0.06371963361210672,0.0640981321205158,0.00037849850840906973,0.49970491280306256,0.038461538461538464,0.00625,0.6036057692307694,0.07142857142857142,0.05625,1.120982142857143,0.06349206349206349,0.1,0.9964285714285714,0.055666003976143144,0.175,0.8736083499005965
