stage,cv,estate,model,feature_set,n_mean,n_std,n_pos_mean,n_pos_std,n_neg_mean,n_neg_std,pos_rate_mean,pos_rate_std,pr_auc_mean,pr_auc_std,pr_auc_lift_mean,pr_auc_lift_std,roc_auc_mean,roc_auc_std,precision_at_1pct_mean,precision_at_1pct_std,recall_at_1pct_mean,recall_at_1pct_std,enrichment_at_1pct_mean,enrichment_at_1pct_std,precision_at_5pct_mean,precision_at_5pct_std,recall_at_5pct_mean,recall_at_5pct_std,enrichment_at_5pct_mean,enrichment_at_5pct_std,precision_at_10pct_mean,precision_at_10pct_std,recall_at_10pct_mean,recall_at_10pct_std,enrichment_at_10pct_mean,enrichment_at_10pct_std,precision_at_20pct_mean,precision_at_20pct_std,recall_at_20pct_mean,recall_at_20pct_std,enrichment_at_20pct_mean,enrichment_at_20pct_std
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,ocsvm_nu05,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.0682729854364187,0.0,0.004553351824311977,0.0,0.5177424500212675,0.0,0.038461538461538464,0.0,0.006250000000000001,1.0622968402425924e-18,0.6036057692307694,0.0,0.08730158730158728,1.6996749443881478e-17,0.06875,0.0,1.3700892857142855,2.7194799110210365e-16,0.07936507936507936,0.0,0.125,0.0,1.2455357142857144,0.0,0.0775347912524851,0.0,0.24375,0.0,1.216811630218688,0.0
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,ocsvm_nu10,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06897215631026075,0.0,0.00525252269815403,0.0,0.5230380689068481,0.0,0.038461538461538464,0.0,0.006250000000000001,1.0622968402425924e-18,0.6036057692307694,0.0,0.07936507936507936,0.0,0.0625,0.0,1.2455357142857144,0.0,0.07142857142857142,0.0,0.1125,0.0,1.120982142857143,0.0,0.06958250497017893,0.0,0.21875,0.0,1.0920104373757455,0.0
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,ocsvm_nu20,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06831995621667955,0.0,0.004600322604572826,0.0,0.5214403445342408,0.0,0.038461538461538464,0.0,0.006250000000000001,1.0622968402425924e-18,0.6036057692307694,0.0,0.07142857142857142,0.0,0.05625,0.0,1.120982142857143,0.0,0.07936507936507936,0.0,0.125,0.0,1.2455357142857144,0.0,0.061630218687872766,0.0,0.19375,0.0,0.9672092445328033,0.0
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,isolation_forest,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06727438234529533,0.0005436126488739261,0.0035547487331886035,0.0005436126488739261,0.5144778817524457,0.0020649636289628353,0.05128205128205129,0.022205779584216375,0.008333333333333333,0.0036084391824351613,0.8048076923076924,0.3484919533497958,0.07142857142857142,0.007936507936507936,0.05625,0.006249999999999999,1.120982142857143,0.12455357142857149,0.07936507936507936,0.003968253968253968,0.125,0.0062500000000000056,1.2455357142857142,0.06227678571428574,0.06891981444665342,0.0011478136564406066,0.21666666666666667,0.0036084391824351644,1.081610337972167,0.018013500570764774
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,lof_25,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06551937461297316,0.0,0.0017997410008664394,0.0,0.4989552318162484,0.0,0.11538461538461538,1.6996749443881478e-17,0.01875,0.0,1.810817307692308,0.0,0.03968253968253968,0.0,0.03125,0.0,0.6227678571428572,0.0,0.06746031746031746,0.0,0.10625,0.0,1.0587053571428573,0.0,0.05964214711729623,8.498374721940739e-18,0.1875,0.0,0.9360089463220677,0.0
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,gmm_4,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.0636965674287457,0.00016335907179510582,-2.3066183361018327e-05,0.00016335907179510582,0.4869824897206862,0.0008673222767744699,0.038461538461538464,0.0,0.006250000000000001,1.0622968402425924e-18,0.6036057692307694,0.0,0.07142857142857142,0.0,0.05625,0.0,1.120982142857143,0.0,0.05687830687830688,0.002291072496784229,0.08958333333333333,0.0036084391824351644,0.8926339285714286,0.03595551899640745,0.06759443339960239,0.0019880715705765384,0.2125,0.0062500000000000056,1.06081013916501,0.031200298210735555
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,gmm_8,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06559899455096842,0.0009950620198240208,0.0018793609388616888,0.0009950620198240208,0.4880839713597051,0.0018345113867303249,0.06410256410256411,0.0587509704481518,0.010416666666666666,0.009547032697824667,1.0060096153846156,0.9220230424706823,0.07671957671957672,0.004582144993568458,0.06041666666666667,0.0036084391824351605,1.2040178571428573,0.07191103799281502,0.07275132275132275,0.002291072496784229,0.11458333333333333,0.0036084391824351566,1.1417410714285714,0.03595551899640745,0.06560636182902585,0.005964214711729622,0.20625000000000002,0.018750000000000003,1.0296098409542744,0.09360089463220672
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,pca_recon_10,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.07212031098547447,0.0,0.008400677373367749,0.0,0.5189679923436835,0.0,0.07692307692307693,0.0,0.012500000000000002,2.1245936804851847e-18,1.2072115384615387,0.0,0.07936507936507936,0.0,0.0625,0.0,1.2455357142857144,0.0,0.08333333333333333,0.0,0.13125,0.0,1.3078125,0.0,0.07952286282306163,0.0,0.25,0.0,1.2480119284294235,0.0
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,knn_dist_20,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06047462730503881,8.498374721940739e-18,-0.0032450063070679075,0.0,0.4749946831135687,0.0,0.038461538461538464,0.0,0.006250000000000001,1.0622968402425924e-18,0.6036057692307694,0.0,0.06349206349206349,0.0,0.05000000000000001,8.498374721940739e-18,0.9964285714285714,0.0,0.047619047619047616,0.0,0.075,0.0,0.7473214285714286,0.0,0.057654075546719676,8.498374721940739e-18,0.18125,0.0,0.9048086481113321,0.0
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,mahalanobis,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.0640981321205158,0.0,0.00037849850840906973,0.0,0.49970491280306256,0.0,0.038461538461538464,0.0,0.006250000000000001,1.0622968402425924e-18,0.6036057692307694,0.0,0.07142857142857142,0.0,0.05625,0.0,1.120982142857143,0.0,0.06349206349206349,0.0,0.10000000000000002,1.6996749443881478e-17,0.9964285714285714,0.0,0.05566600397614315,8.498374721940739e-18,0.17499999999999996,3.3993498887762956e-17,0.8736083499005965,0.0
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,kmeans_dist_8,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06657611610989438,0.0005255980951378784,0.002856482497787647,0.0005255980951378784,0.5137104778108607,0.004282602951381082,0.0,0.0,0.0,0.0,0.0,0.0,0.06613756613756613,0.004582144993568458,0.052083333333333336,0.00360843918243516,1.0379464285714286,0.07191103799281502,0.06481481481481481,0.002291072496784229,0.10208333333333335,0.0036084391824351566,1.0171875000000001,0.03595551899640758,0.06958250497017893,0.0034434409693218193,0.21875,0.010825317547305494,1.0920104373757455,0.05404050171229431
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,autoencoder,all14,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06404546091560072,0.002884754222712302,0.0003258273034939969,0.002884754222712302,0.4953220260881894,0.009740959779522763,0.08974358974358976,0.04441155916843276,0.014583333333333332,0.007216878364870321,1.4084134615384618,0.6969839066995915,0.05291005291005291,0.012123216124221799,0.041666666666666664,0.009547032697824668,0.8303571428571429,0.19025872304950583,0.06216931216931217,0.006061608062110899,0.09791666666666667,0.009547032697824668,0.975669642857143,0.09512936152475296,0.061630218687872766,0.007168093987005942,0.19375,0.02253469547164994,0.9672092445328033,0.11249427500857447
healthy_only,spatial_5fold_repeated,AHCensus_Basemap,ocsvm_nu10,all14_plus_ext,2511.0,0.0,160.0,0.0,2351.0,0.0,0.06371963361210672,0.0,0.06844415142550192,0.0,0.004724517813395196,0.0,0.5116120799659719,0.0,0.07692307692307693,0.0,0.012500000000000002,2.1245936804851847e-18,1.2072115384615387,0.0,0.07936507936507936,0.0,0.0625,0.0,1.2455357142857144,0.0,0.07142857142857142,0.0,0.1125,0.0,1.120982142857143,0.0,0.07554671968190854,0.0,0.23749999999999996,3.3993498887762956e-17,1.1856113320079522,0.0
