id,Long,Lat,Class
1,102.434761,2.946644,Healthy
2,102.434488,2.946161,Healthy
3,102.434845,2.946645,Healthy
4,102.434685,2.946089,Healthy
5,102.43492,2.946778,Healthy
6,102.434262,2.945335,Unhealthy
7,102.434684,2.946372,Healthy
8,102.434882,2.946433,Healthy
9,102.434916,2.946644,Healthy
10,102.434297,2.945276,Healthy
11,102.432546,2.94744,Healthy
12,102.43419,2.948137,Healthy
13,102.434377,2.945399,Healthy
14,102.434997,2.946646,Healthy
15,102.439706,2.946712,Healthy
16,102.434605,2.946106,Healthy
17,102.434881,2.946576,Healthy
18,102.434103,2.945059,Healthy
19,102.434842,2.946775,Healthy
20,102.43492,2.946505,Healthy
21,102.435028,2.946711,Unhealthy
22,102.434766,2.946229,Healthy
23,102.434187,2.94506,Healthy
24,102.434606,2.946371,Healthy
25,102.432589,2.947647,Healthy
26,102.434724,2.946569,Healthy
27,102.4348,2.946572,Healthy
28,102.434527,2.946103,Healthy
29,102.434259,2.945062,Healthy
30,102.439397,2.946162,Healthy
31,102.434727,2.94616,Healthy
32,102.434612,2.945819,Healthy
33,102.439362342,2.946098528,Healthy
34,102.434528,2.945817,Healthy
35,102.434334,2.945605,Healthy
36,102.434068,2.94499,Healthy
37,102.434918,2.94693,Healthy
38,102.439596,2.946238,Healthy
39,102.434369,2.945677,Healthy
40,102.434414,2.945747,Healthy
41,102.439941,2.946858,Healthy
42,102.434953,2.946984,Healthy
43,102.434335,2.945469,Healthy
44,102.433987,2.944992,Healthy
45,102.43421,2.945275,Healthy
46,102.434022,2.945062,Unhealthy
47,102.434684,2.946227,Healthy
48,102.432511,2.947506,Healthy
49,102.432469,2.947169,Healthy
50,102.434994,2.946778,Healthy
51,102.435154,2.946933,Healthy
52,102.434181,2.945196,Healthy
53,102.43967,2.94624,Healthy
54,102.434026,2.944923,Healthy
55,102.432786,2.94758,Unhealthy
56,102.435112,2.946989,Healthy
57,102.433056,2.948057,Healthy
58,102.439476,2.946298,Healthy
59,102.434841,2.946502,Healthy
60,102.432396,2.947303,Healthy
61,102.433611,2.947248,Healthy
62,102.439559,2.946166,Healthy
63,102.434998,2.946932,Healthy
64,102.43259,2.947239,Healthy
65,102.434336,2.945336,Healthy
66,102.433499,2.94718,Unhealthy
67,102.434807,2.946298,Healthy
68,102.434414,2.945607,Healthy
69,102.434234,2.948069,Healthy
70,102.434343,2.945197,Healthy
71,102.434568,2.94589,Unhealthy
72,102.439747,2.946785,Healthy
73,102.434725,2.946298,Healthy
74,102.439515,2.946235,Healthy
75,102.439596,2.946114,Healthy
76,102.434098,2.945197,Healthy
77,102.434487,2.945886,Healthy
78,102.43449,2.945746,Healthy
79,102.434649,2.945892,Unhealthy
80,102.439522,2.946112,Healthy
81,102.439516,2.94637,Healthy
82,102.435076,2.946932,Healthy
83,102.434038,2.948138,Healthy
84,102.432468,2.947307,Unhealthy
85,102.434802,2.946435,Healthy
86,102.439437,2.946233,Healthy
87,102.433885,2.947456,Healthy
88,102.439861,2.946857,Healthy
89,102.434689,2.945818,Healthy
90,102.434616,2.94568,Healthy
91,102.435116,2.946849,Healthy
92,102.434607,2.946224,Healthy
93,102.432709,2.947719,Healthy
94,102.439905,2.946787,Healthy
95,102.434116,2.948138,Healthy
96,102.434958,2.946571,Healthy
97,102.433993,2.948068,Healthy
98,102.439404,2.949246,Healthy
99,102.434764,2.946369,Healthy
100,102.433687,2.947249,Healthy
101,102.432511,2.947237,Healthy
102,102.433022,2.947991,Healthy
103,102.434038,2.947997,Healthy
104,102.4343,2.94513,Healthy
105,102.432509,2.947371,Healthy
106,102.434721,2.946443,Healthy
107,102.434381,2.94528,Healthy
108,102.440126,2.947066,Healthy
109,102.439787,2.946716,Healthy
110,102.439629,2.946441,Healthy
111,102.433733,2.947177,Healthy
112,102.434075,2.948071,Healthy
113,102.433533,2.947112,Healthy
114,102.4391,2.948402,Healthy
115,102.434727,2.945889,Healthy
116,102.433649,2.947451,Healthy
117,102.439556,2.946306,Healthy
118,102.434644,2.946298,Healthy
119,102.433765,2.947527,Healthy
120,102.439095,2.948546,Healthy
121,102.434104,2.944926,Healthy
122,102.439281,2.949033,Healthy
123,102.432434,2.947098,Healthy
124,102.434529,2.945677,Unhealthy
125,102.435231,2.947057,Healthy
126,102.432903,2.947921,Healthy
127,102.432704,2.947437,Unhealthy
128,102.434538,2.945537,Healthy
129,102.434262,2.945195,Healthy
130,102.43427,2.94814,Healthy
131,102.439789,2.946581,Healthy
132,102.432667,2.947648,Healthy
133,102.433768,2.947385,Healthy
134,102.439634,2.946168,Healthy
135,102.435078,2.946782,Healthy
136,102.432785,2.947717,Healthy
137,102.439183,2.948552,Healthy
138,102.433849,2.947795,Healthy
139,102.432587,2.947514,Healthy
140,102.433845,2.947661,Healthy
141,102.438823,2.948342,Healthy
142,102.439482,2.949104,Healthy
143,102.432744,2.947648,Healthy
144,102.432979,2.947921,Healthy
145,102.432311,2.947165,Healthy
146,102.434036,2.947865,Healthy
147,102.439981,2.946791,Healthy
148,102.433573,2.947317,Unhealthy
149,102.432509,2.947095,Healthy
150,102.439446,2.94917,Healthy
151,102.439362,2.949173,Healthy
152,102.433535,2.947249,Unhealthy
153,102.432389,2.947168,Healthy
154,102.433926,2.947928,Healthy
155,102.434574,2.94561,Healthy
156,102.434448,2.946101,Healthy
157,102.439593,2.946372,Healthy
158,102.432595,2.947372,Healthy
159,102.439326,2.949102,Healthy
160,102.438977,2.948616,Healthy
161,102.43373,2.947314,Healthy
162,102.433998,2.947926,Healthy
163,102.434156,2.947934,Healthy
164,102.432631,2.947439,Healthy
165,102.434412,2.946019,Healthy
166,102.432744,2.947512,Healthy
167,102.435021,2.946987,Healthy
168,102.438863,2.948278,Unhealthy
169,102.439827,2.94651,Healthy
170,102.439247,2.949097,Healthy
171,102.434876,2.946849,Healthy
172,102.433956,2.947997,Healthy
173,102.432667,2.947515,Healthy
174,102.434795,2.946713,Healthy
175,102.433882,2.947594,Healthy
176,102.43412,2.948,Healthy
177,102.439479,2.946165,Healthy
178,102.433652,2.94718,Healthy
179,102.434205,2.945398,Healthy
180,102.439127,2.948481,Healthy
181,102.432275,2.947096,Healthy
182,102.439554,2.946437,Healthy
183,102.434845,2.946364,Healthy
184,102.434955,2.946848,Unhealthy
185,102.434491,2.945605,Healthy
186,102.434119,2.947863,Healthy
187,102.440062,2.947069,Healthy
188,102.434193,2.948003,Healthy
189,102.434146,2.945128,Healthy
190,102.432743,2.947918,Healthy
191,102.433922,2.947524,Healthy
192,102.439596,2.949314,Healthy
193,102.438938,2.948275,Unhealthy
194,102.43461,2.945953,Unhealthy
195,102.438939,2.948548,Healthy
196,102.439673,2.946372,Healthy
197,102.433609,2.947384,Healthy
198,102.432823,2.947651,Healthy
199,102.439056,2.948478,Healthy
200,102.434292,2.945536,Unhealthy
201,102.439405,2.949107,Healthy
202,102.432896,2.947788,Healthy
203,102.434451,2.945677,Healthy
204,102.439706,2.946578,Healthy
205,102.434992,2.947055,Healthy
206,102.439748,2.946512,Healthy
207,102.432982,2.948057,Healthy
208,102.439207,2.949034,Healthy
209,102.43898,2.948483,Healthy
210,102.432824,2.947784,Unhealthy
211,102.432943,2.94799,Healthy
212,102.439217,2.948622,Healthy
213,102.433922,2.947665,Healthy
214,102.432745,2.947787,Healthy
215,102.439821871,2.946927039,Healthy
216,102.439021,2.948548,Healthy
217,102.433886,2.947734,Healthy
218,102.434044,2.947734,Healthy
219,102.434492,2.946017,Healthy
220,102.439321,2.949236,Healthy
221,102.439711,2.946444,Healthy
222,102.434079,2.947797,Healthy
223,102.43286,2.947718,Healthy
224,102.439863,2.946583,Healthy
225,102.439277,2.948889,Healthy
226,102.433771,2.947248,Unhealthy
227,102.440055,2.946923,Healthy
228,102.439364,2.948896,Healthy
229,102.433959,2.947593,Healthy
230,102.433958,2.947735,Healthy
231,102.435195,2.946985,Healthy
232,102.44002,2.946995,Healthy
233,102.439442,2.946097,Healthy
234,102.435023,2.94685,Healthy
235,102.439983,2.947065,Healthy
236,102.432944,2.948128,Healthy
237,102.439173,2.948963,Healthy
238,102.439588,2.946509,Healthy
239,102.434004,2.947662,Unhealthy
240,102.434571,2.946025,Healthy
241,102.433808,2.947454,Healthy
242,102.439247,2.948963,Healthy
243,102.433846,2.947527,Healthy
244,102.432941,2.947854,Healthy
245,102.433806,2.947733,Healthy
246,102.432787,2.947858,Healthy
247,102.43286,2.947988,Healthy
248,102.433729,2.947454,Healthy
249,102.439022,2.948279,Healthy
250,102.43465,2.946029,Healthy
251,102.433846,2.947385,Healthy
252,102.433691,2.947525,Healthy
253,102.439126,2.948894,Healthy
254,102.435151,2.947057,Healthy
255,102.432627,2.947714,Healthy
256,102.439745,2.946372,Healthy
257,102.433811,2.94732,Healthy
258,102.432784,2.947984,Healthy
259,102.434766,2.945957,Healthy
260,102.439666,2.946508,Healthy
261,102.432864,2.947852,Healthy
262,102.440017,2.946858,Healthy
263,102.439705,2.946311,Healthy
264,102.434076,2.947934,Healthy
265,102.43255,2.947306,Unhealthy
266,102.439939,2.94713,Healthy
267,102.439445,2.949036,Unhealthy
268,102.439160417,2.948815423,Healthy
269,102.433948,2.944922,Unhealthy
270,102.432861,2.948124,Healthy
271,102.439127,2.948618,Healthy
272,102.439785,2.946442,Healthy
273,102.43365,2.947318,Unhealthy
274,102.433764,2.947656,Healthy
275,102.439941,2.94672,Healthy
276,102.439128,2.948756,Unhealthy
277,102.439828,2.946649,Healthy
278,102.439247,2.948684,Healthy
279,102.434686,2.945957,Unhealthy
280,102.440093,2.946999,Healthy
281,102.439207,2.948896,Healthy
282,102.432673,2.947784,Healthy
283,102.434154,2.948073,Healthy
284,102.439864,2.946716,Healthy
285,102.439943,2.946995,Healthy
286,102.433097,2.948126,Healthy
287,102.433616,2.94711,Healthy
288,102.439326,2.948825,Healthy
289,102.439749,2.946647,Healthy
290,102.439069,2.948334,Healthy
291,102.432707,2.947851,Healthy
292,102.43967,2.946647,Healthy
293,102.439277,2.948756,Healthy
294,102.439519,2.949173,Healthy
295,102.433688,2.947384,Unhealthy
296,102.439481,2.94924,Healthy
297,102.438899,2.948482,Healthy
298,102.433999,2.9478,Healthy
299,102.43906,2.948618,Healthy
300,102.439627,2.946577,Healthy
301,102.438782,2.948274,Healthy
302,102.439518,2.949308,Healthy
303,102.439097,2.948684,Healthy
304,102.433806,2.947591,Healthy
305,102.432826,2.948056,Healthy
306,102.439018,2.948409,Healthy
307,102.439903,2.947063,Healthy
308,102.439864,2.946997,Healthy
309,102.439056,2.948753,Healthy
310,102.439326,2.948969,Healthy
311,102.439209,2.948752,Healthy
312,102.440016,2.947136,Healthy
313,102.439088,2.948826,Healthy
314,102.439824,2.946787,Healthy
315,102.440155,2.947127,Healthy
316,102.439361,2.949034,Healthy
317,102.434571,2.945754,Healthy
318,102.439777,2.946848,Healthy
319,102.439906,2.946655,Healthy
320,102.433685,2.94711,Healthy
321,102.438934,2.948409,Healthy
322,102.438977,2.94834,Unhealthy
323,102.439015,2.948684,Healthy
324,102.439286,2.949168,Healthy
325,102.439409,2.948964,Healthy
326,102.439561,2.94924,Healthy
327,102.439446,2.949309,Healthy
328,102.439237885,2.948827264,Unhealthy
329,102.434202,2.946359,Healthy
330,102.4342,2.946498,Healthy
331,102.436995,2.947153,Healthy
332,102.434251,2.946155,Healthy
333,102.434169,2.946428,Healthy
334,102.43401,2.946153,Healthy
335,102.437029,2.947626,Healthy
336,102.433973,2.946098,Healthy
337,102.437148,2.947696,Healthy
338,102.434173,2.946153,Unhealthy
339,102.434441,2.946927,Healthy
340,102.437144,2.947424,Healthy
341,102.436992,2.947557,Healthy
342,102.436995,2.947285,Healthy
343,102.433932,2.946019,Healthy
344,102.434253,2.946432,Healthy
345,102.438884,2.946492,Healthy
346,102.437262,2.947622,Healthy
347,102.4346,2.946928,Healthy
348,102.437034083,2.94735651,Healthy
349,102.43738,2.947838,Healthy
350,102.434131,2.946359,Healthy
351,102.436956,2.947223,Healthy
352,102.439141,2.946978,Healthy
353,102.437224,2.947696,Healthy
354,102.434477,2.946984,Healthy
355,102.434327,2.946296,Healthy
356,102.434486,2.94657,Healthy
357,102.434684,2.946927,Healthy
358,102.440093,2.947683,Healthy
359,102.43445,2.946503,Healthy
360,102.43437,2.946369,Healthy
361,102.437184,2.947769,Healthy
362,102.437068,2.947547,Healthy
363,102.438762,2.946561,Healthy
364,102.434133,2.946099,Healthy
365,102.434174,2.946019,Healthy
366,102.438554,2.947858,Healthy
367,102.434174,2.946284,Unhealthy
368,102.43869,2.946291,Healthy
369,102.437187,2.947496,Healthy
370,102.434327,2.946433,Healthy
371,102.437074,2.947291,Healthy
372,102.434329,2.946711,Healthy
373,102.434406,2.946571,Healthy
374,102.43742,2.947907,Healthy
375,102.434056,2.946223,Healthy
376,102.437222,2.947833,Healthy
377,102.434643,2.946988,Healthy
378,102.434327,2.946566,Healthy
379,102.436915,2.947421,Healthy
380,102.437069,2.947699,Healthy
381,102.434407,2.946434,Healthy
382,102.43472,2.946986,Healthy
383,102.43715,2.947565,Healthy
384,102.440112,2.94789,Healthy
385,102.438165,2.947715,Healthy
386,102.437265,2.947774,Healthy
387,102.437036,2.947221,Healthy
388,102.439075,2.946978,Healthy
389,102.434524,2.946929,Healthy
390,102.436956,2.947482,Healthy
391,102.440239,2.948226,Healthy
392,102.438595,2.947926,Healthy
393,102.437182,2.947906,Healthy
394,102.434569,2.946712,Healthy
395,102.440045,2.947885,Healthy
396,102.434289,2.946641,Healthy
397,102.439929,2.947812,Healthy
398,102.438688,2.946561,Healthy
399,102.438716,2.947721,Healthy
400,102.43726,2.947897,Healthy
401,102.438902,2.948066,Healthy
